PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
26.16,51.35,12.02,15.63,36.59,11.2,14.36,0.74,27.03,0.41,1.43,1.68,0.91,82.03,None,None,24.84,775.05
28.46,56.15,12.37,15.7,35.9,11.19,13.82,0.74,27.23,0.43,1.45,1.69,0.87,87.23,None,None,23.62,775
23.87,46.53,11.68,16.48,36.2,11.37,13.56,0.74,27.98,0.41,1.46,1.65,0.89,89.23,None,None,22.83,775
26.49,52.02,12.07,15.87,37.06,11.33,12.32,0.74,27.3,0.41,1.44,1.71,0.86,89.25,None,None,23.75,775
24.66,48.19,11.8,16.07,35.9,11.57,12.73,0.74,27.34,0.41,1.47,1.69,0.89,89.25,None,None,24.12,775.02
24.52,47.89,11.78,16.08,36.44,11.32,13.29,0.74,27.54,0.41,1.47,1.67,0.92,89.25,None,None,24.29,775.07
24.23,47.27,11.73,15.79,35.49,11.25,12.7,0.73,27.6,0.41,1.42,1.68,0.88,89.26,None,None,29.16,775.08
23.79,46.35,11.67,15.85,36.12,11.34,9.2,0.74,27.21,0.41,1.44,1.67,0.88,89.25,None,None,42.38,774.93
26.63,52.31,12.1,15.97,36.41,11.4,8.1,0.73,27.2,0.41,1.44,1.66,0.87,83.6,None,None,53.67,774.92
25.93,50.87,11.99,16.34,36.61,11.25,8.34,0.75,27.38,0.42,1.46,1.68,0.9,58.11,None,None,91.18,774.9
25.85,50.68,11.98,16.11,37.02,11.25,8.1,0.75,26.92,0.41,1.44,1.68,0.88,44.39,None,None,352.52,774.92
27.31,53.76,12.2,16.41,36.35,11.47,10.05,0.73,27.95,0.41,1.47,1.68,0.89,37.46,None,None,547.86,774.98
26.74,52.56,12.11,15.86,37.3,11.27,7.32,0.72,27.71,0.4,1.43,1.69,0.89,33.28,None,None,402.51,775
26.71,52.48,12.11,16.07,37,11.39,6.76,0.75,27.3,0.41,1.46,1.68,0.91,31.56,None,None,521.16,775.02
25.91,50.82,11.99,15.89,36.33,11.29,6.17,0.74,27.17,0.41,1.44,1.65,0.86,31.97,None,None,249.08,774.95
27.87,54.91,12.28,15.61,36.19,11.26,17.13,0.73,27.56,0.41,1.43,1.67,0.89,34.3,None,None,71.55,774.8
25.14,49.2,11.87,15.6,36.64,11.32,18.2,0.73,27.82,0.41,1.45,1.67,0.84,38.18,None,None,36.69,774.9
24.91,48.72,11.84,15.83,36.21,11.24,18.88,0.73,27.67,0.43,1.48,1.65,0.9,41.39,None,None,22.09,773.45
